County,Total,"Less_than_$10,000_Perc","$10,000_to_$14,999_Perc","$15,000_to_$19,999_Perc","$20,000_to_$24,999_Perc","$25,000_to_$29,999_Perc","$30,000_to_$34,999_Perc","$35,000_to_$39,999_Perc","$40,000_to_$44,999_Perc","$45,000_to_$49,999_Perc","$50,000_to_$59,999_Perc","$60,000_to_$74,999_Perc","$75,000_to_$99,999_Perc","$100,000_to_$124,999_Perc","$125,000_to_$149,999_Perc","$150,000_to_$199,999_Perc","$200,000_or_more_Perc"
Amador,325,0.0000,0.0000,0.0585,0.0000,0.0000,0.0000,0.0215,0.1231,0.0000,0.0831,0.1415,0.3415,0.0954,0.0123,0.1077,0.0154
Butte,2881,0.0739,0.0316,0.0423,0.0694,0.0722,0.0562,0.0437,0.0250,0.1066,0.0781,0.1437,0.1309,0.0573,0.0323,0.0212,0.0156
Calaveras,97,0.0000,0.0000,0.0000,0.0000,0.2680,0.0000,0.0000,0.1134,0.0000,0.3505,0.0000,0.1959,0.0722,0.0000,0.0000,0.0000
Colusa,295,0.1153,0.0136,0.0000,0.0814,0.0407,0.0000,0.0000,0.0136,0.0576,0.1186,0.1288,0.1627,0.1966,0.0068,0.0305,0.0339
"Contra Costa",30280,0.0281,0.0266,0.0288,0.0253,0.0408,0.0451,0.0418,0.0323,0.0406,0.0869,0.1176,0.1715,0.1063,0.0893,0.0624,0.0566
"Del Norte",633,0.0600,0.0221,0.0742,0.1122,0.1280,0.0000,0.0000,0.0506,0.0316,0.0490,0.0079,0.2449,0.0000,0.0569,0.0190,0.1438
"El Dorado",1194,0.0268,0.0084,0.0410,0.0310,0.0678,0.0335,0.0000,0.0268,0.0921,0.1248,0.1139,0.1658,0.0369,0.0871,0.0586,0.0854
Fresno,38719,0.0691,0.0622,0.0561,0.0827,0.0495,0.0653,0.0538,0.0554,0.0495,0.0703,0.1148,0.1103,0.0824,0.0315,0.0254,0.0216
Glenn,924,0.0400,0.1840,0.0996,0.0725,0.0574,0.0000,0.0195,0.0931,0.0271,0.1342,0.0985,0.0487,0.0595,0.0065,0.0563,0.0032
Humboldt,1708,0.0480,0.0580,0.1095,0.0293,0.0966,0.0234,0.0960,0.0556,0.0515,0.0146,0.1423,0.1745,0.0146,0.0047,0.0521,0.0293
Imperial,11430,0.0659,0.1065,0.0912,0.0842,0.0339,0.0638,0.0380,0.0496,0.0627,0.0689,0.1101,0.0960,0.0539,0.0283,0.0266,0.0205
Inyo,185,0.0000,0.0000,0.0000,0.0000,0.0757,0.0000,0.0216,0.0216,0.0000,0.0324,0.1784,0.6162,0.0000,0.0000,0.0541,0.0000
Kern,29780,0.0588,0.0596,0.0549,0.0526,0.0636,0.0607,0.0592,0.0495,0.0499,0.0824,0.0995,0.1320,0.0829,0.0438,0.0336,0.0171
Kings,5705,0.0673,0.0305,0.0466,0.0335,0.0624,0.0613,0.0542,0.1045,0.0696,0.1125,0.0882,0.1195,0.1064,0.0144,0.0226,0.0065
Lake,1784,0.0779,0.0538,0.0067,0.1132,0.0280,0.0897,0.0605,0.0544,0.0846,0.0594,0.0633,0.1328,0.0712,0.0230,0.0639,0.0174
Lassen,98,0.0000,0.0000,0.0102,0.0000,0.0000,0.0000,0.6327,0.0306,0.0102,0.1122,0.0306,0.1531,0.0102,0.0102,0.0000,0.0000
"Los Angeles",536209,0.0480,0.0412,0.0429,0.0507,0.0519,0.0542,0.0510,0.0523,0.0443,0.0877,0.1156,0.1351,0.0873,0.0531,0.0510,0.0336
Madera,8812,0.0550,0.0550,0.0452,0.0547,0.0751,0.0458,0.0814,0.0525,0.0590,0.0689,0.1110,0.1170,0.0792,0.0409,0.0326,0.0267
Marin,4555,0.0338,0.0367,0.0485,0.0395,0.0292,0.0237,0.0648,0.0619,0.0202,0.0931,0.1892,0.1175,0.0520,0.0814,0.0391,0.0694
